companyeconomicsector(yahoo,advertising).
companyeconomicsector(painewebber,investment).
companyeconomicsector(ga,insurance).
companyeconomicsector(kwextv,media).
companyeconomicsector(thewashingtontimes,news).
companyeconomicsector(jpmorgansecuritiesinc,equity).
companyeconomicsector(firstboston,investment).
companyeconomicsector(royaldutchshell,energy).
companyeconomicsector(intel,engineering).
companyeconomicsector(alabama,insurancecoverage).
companyeconomicsector(tribuneco,media).
companyeconomicsector(cnnheadlinenews,media).
companyeconomicsector(morganstanley,financialservices).
companyeconomicsector(wha,media).
companyeconomicsector(video,insurance).
companyeconomicsector(manyfamilies,insurance).
companyeconomicsector(volkswagen,automobile).
companyeconomicsector(nbcuniversal,media).
companyeconomicsector(halliburton,energy).
companyeconomicsector(iowa,insurance).
companyeconomicsector(viacom,media).
companyeconomicsector(avonproducts,sales).
companyeconomicsector(alexandria,insurance).
companyeconomicsector(ibm,computer).
companyeconomicsector(eamobile,gaming).
companyeconomicsector(fiat,automobile).
companyeconomicsector(unitedhealthcare,insurance).
companyeconomicsector(schroders,investment).
companyeconomicsector(digitalequipment,computer).
companyeconomicsector(boeingcompany,aerospace).
companyeconomicsector(lazard,investment).
companyeconomicsector(berkshirehathaway,insurance).
companyeconomicsector(newyork,insurance).
companyeconomicsector(raymondjamesstadium,investment).
companyeconomicsector(timewarnerinc,media).
companyeconomicsector(charteredsemiconductor,electronics).
companyeconomicsector(salomonbrothersinc,investment).
companyeconomicsector(jpmorganco,investment).
companyeconomicsector(marykay,sales).
companyeconomicsector(wallstreetjournal,media).
companyeconomicsector(friendfeedshare,media).
companyeconomicsector(npr,news).
companyeconomicsector(public,insurance).
companyeconomicsector(thewaltdisneycompany,media).
companyeconomicsector(credit,insurancecoverage).
companyeconomicsector(robertwbairdco,investment).
companyeconomicsector(directline,insurance).
companyeconomicsector(newyork,insurancecoverage).
companyeconomicsector(ebay,consumer).
companyeconomicsector(mckinseycompany,research).
companyeconomicsector(ut,insurance).
companyeconomicsector(citigroup,investment).
companyeconomicsector(newhampshire,insurancecoverage).
companyeconomicsector(csfirstboston,investment).
companyeconomicsector(jpmorgan,investment).
companyeconomicsector(dresdnerbank,investment).
companyeconomicsector(grandrapids,insurance).
companyeconomicsector(honda,automobile).
companyeconomicsector(boostmobile,telecommunications).
companyeconomicsector(houlihanlokey,investment).
companyeconomicsector(cnnabc,media).
companyeconomicsector(chrome,internet).
companyeconomicsector(amoco,energy).
companyeconomicsector(aarp,insurance).
companyeconomicsector(arthurandersen,auditing).
companyeconomicsector(linklaters,law).
companyeconomicsector(cbscorporation,news).
companyeconomicsector(usnewsworldreport,news).
companyeconomicsector(air,insurance).
companyeconomicsector(alabama,insurance).
companyeconomicsector(aolvideo,internet).
companyeconomicsector(nytimes,news).
companyeconomicsector(cnncbs,news).
companyeconomicsector(laopinin,insurance).
companyeconomicsector(line,insurance).
companyeconomicsector(nextelpartners,telecommunications).
companyeconomicsector(nation,news).
companyeconomicsector(tucson,insurance).
companyeconomicsector(alcatel,telecommunications).
companyeconomicsector(wassersteinperella,investment).
companyeconomicsector(alcoa,aluminum).
companyeconomicsector(public,claims).
companyeconomicsector(thomson,travel).
companyeconomicsector(bt,telecommunications).
companyeconomicsector(macmillan,publishing).
companyeconomicsector(ontario,insurance).
companyeconomicsector(thinkequitypartners,investment).
companyeconomicsector(apollogroup,education).
companyeconomicsector(nytimes,media).
companyeconomicsector(donaldson,investment).
companyeconomicsector(amazoncom,consumer).
companyeconomicsector(houstonchronicle,news).
companyeconomicsector(kemv,media).
companyeconomicsector(nebraska,insurancecoverage).
companyeconomicsector(americaninternationalgroup,insurance).
companyeconomicsector(mtv,media).
companyeconomicsector(vanguard,financialservices).
companyeconomicsector(pearson,education).
companyeconomicsector(foxnews,media).
companyeconomicsector(buy,insurance).
companyeconomicsector(hsbc,banking).
companyeconomicsector(doubleclick,marketing).
companyeconomicsector(louisiana,insurancecoverage).
companyeconomicsector(drexelburnhamlambert,investment).
companyeconomicsector(lloyds,insurance).
companyeconomicsector(cctv,media).
companyeconomicsector(ducati,motorcycle).
companyeconomicsector(oppenheimer,investment).
companyeconomicsector(austinamericanstatesman,news).
companyeconomicsector(uk,insurance).
companyeconomicsector(sony,consumerelectronics).
companyeconomicsector(aboutcom,media).
companyeconomicsector(usaa,insurance).
companyeconomicsector(low,insurancecompany).
companyeconomicsector(pa,insurance).
companyeconomicsector(florida,insurancecompanies).
companyeconomicsector(ca,insurance).
companyeconomicsector(kdtv,media).
companyeconomicsector(baincapital,equity).
companyeconomicsector(chicago,insurance).
companyeconomicsector(ks,insurance).
companyeconomicsector(halifax,insurance).
companyeconomicsector(dailyjournal,insurance).
companyeconomicsector(today,media).
companyeconomicsector(bankerstrustcompany,investment).
companyeconomicsector(microsoftcorporation,computersoftware).
companyeconomicsector(hilton,hospitality).
companyeconomicsector(bingindex,internet).
