companyceo(limitedbrands,lesliewexner).
companyceo(whirlpoolcorp,jeffmfettig).
companyceo(walmartstores,mikeduke).
companyceo(vmware,paulmaritz).
companyceo(goldmansachs,lloydblankfein).
companyceo(hewlettpackard,markvhurd).
companyceo(nokiasiemens,jormaollila).
companyceo(pepsico,indraknooyi).
companyceo(alcatellucent,benverwaayen).
companyceo(glaxosmithkline,andrewwitty).
companyceo(alcoa,alainbelda).
companyceo(citigroup,sanfordiweill).
companyceo(tivoinc,tomrogers).
companyceo(infosysandwipro,nandannilekani).
companyceo(qualcomm,irwinjacobs).
companyceo(libertymediacorp,johnmalone).
companyceo(cablevision,charlesdolan).
companyceo(wiproandinfosys,girishparanjpe).
companyceo(worldwrestlingentertainment,lindamcmahon).
companyceo(avon,andreajung).
companyceo(windstreamcorporation,jefferygardner).
companyceo(merck,richardclark).
companyceo(tribuneco,entrepreneursamzell).
companyceo(emccorp,richardegan).
companyceo(magna,frankstronach).
companyceo(capitalonefinancial,richardfairbank).
companyceo(homedepotinc,frankblake).
companyceo(honeywell,davidcote).
companyceo(ataricorporation,nolanbushnell).
companyceo(archerdanielsmidland,patriciaawoertz).
companyceo(gateway,tedwaitt).
companyceo(ryanair,michaeloleary).
companyceo(cardinalhealthinc,robertdwalter).
companyceo(dupont,ellenjkullman).
companyceo(palminc,edcolligan).
companyceo(bestbuycoinc,bradanderson).
companyceo(conocophillips,jamesmulva).
companyceo(lukoil,vagitalekperov).
companyceo(anheuserbuschcompanies,augustabuschiv).
companyceo(fiatspa,executivesergiomarchionne).
companyceo(comcast,brianroberts).
companyceo(coned,kevinburke).
companyceo(cocacola,nevilleisdell).
companyceo(dellinc,michaeldell).
companyceo(nbcuniversal,jeffzucker).
companyceo(unitedstatessteelcorp,johnpsurma).
companyceo(oracle,lawrenceellison).
companyceo(exxonmobil,rextillerson).
companyceo(lockheedmartin,robertstevens).
companyceo(continental,larrykellner).
companyceo(abbotlaboratories,milesdwhite).
companyceo(broadcom,henrytnicholasiii).
companyceo(nintendo,satoruiwata).
companyceo(riteaid,marysammons).
companyceo(expressscripts,georgepaz).
companyceo(exeloncorp,johnrowe).
companyceo(mckesson,johnhammergren).
companyceo(airfrance,pierrehenrigourgeon).
companyceo(pfizer,jeffkindler).
companyceo(univisioncommunications,jerryperenchio).
companyceo(satyamcomputerservicesltd,ramalingaraju).
companyceo(microntechnologyinc,stevenappleton).
companyceo(ecb,jeanclaudetrichet).
companyceo(facebook,markzuckerberg).
companyceo(peoplesoft,davidduffield).
companyceo(fox,rogerailes).
companyceo(twitter,evanwilliams).
companyceo(activision,bobbykotick).
companyceo(google,ericschmidt).
companyceo(thewaltdisneyco,robertiger).
companyceo(youtube,chadhurley).
companyceo(yahoo,terryssemel).
companyceo(wordpress,mattmullenweg).
companyceo(wetatv,richardtaylor).
companyceo(carlylegroup,davidrubenstein).
companyceo(lowes,robertniblock).
companyceo(upsground,michaeleskew).
companyceo(frontier,jeffpotter).
companyceo(burgerkinghldgs,johnchidsey).
companyceo(costco,jimsinegal).
companyceo(ford,henryford).
companyceo(giant,irvingazoff).
companyceo(americanexpress,kenchenault).
companyceo(bankamerica,kennethlewis).
companyceo(nike,philipknight).
companyceo(dunkindonuts,jonlluther).
companyceo(ikea,ingvarkamprad).
companyceo(dominospizza,davidbrandon).
companyceo(ebay,johndonahoe).
companyceo(walmart,samwalton).
companyceo(blockbusterexpress,antioco).
companyceo(qwestfield,richardnotebaert).
companyceo(nyse,johnthain).
companyceo(lehman,dickfuld).
companyceo(generalmotors,fritzhenderson).
companyceo(delta,geraldgrinstein).
companyceo(carnival,mickyarison).
companyceo(ukbritishairways,dougparker).
companyceo(playboyenterprisesinternational,hughhefner).
companyceo(thewashingtonpostcompany,donaldgraham).
companyceo(squidoo,sethgodin).
companyceo(forbes,steveforbes).
companyceo(netscape,marcandreessen).
companyceo(espncom,georgebodenheimer).
companyceo(myspace,chrisdewolfe).
companyceo(linkedin,reidhoffman).
companyceo(alibabacom,jackma).
companyceo(timewarner,glennabritt).
companyceo(macworld,stevejobs).
companyceo(newyorktimescompany,janetlrobinson).
companyceo(digg,kevinrose).
companyceo(sonycomputerentertainmentinc,kazuohirai).
companyceo(rca,davidsarnoff).
companyceo(epicrecords,lareid).
companyceo(rocafellarecords,damondash).
companyceo(defjam,jayz).
companyceo(bloodlinerecords,dmx).
companyceo(emi,edgarbronfman).
companyceo(warnerbros,barrymeyer).
companyceo(sunrecords,samphillips).
companyceo(kraftfoods,irenerosenfeld).
companyceo(newscorporation,rupertmurdoch).
companyceo(meetupcom,scottheiferman).
companyceo(wynnresorts,stevewynn).
companyceo(internationalpaper,johnfaraci).
companyceo(deltaairlines,richardanderson).
companyceo(compaq,michaelcapellas).
companyceo(jpmorganchase,jamiedimon).
companyceo(viacom,sumnerredstone).
companyceo(barclays,johnsilvestervarley).
companyceo(sunmicrosystems,jonathanschwartz).
companyceo(rbs,tommckillop).
companyceo(nab,johnstewart).
companyceo(fanniemae,franklinraines).
companyceo(deutschebank,josefackermann).
companyceo(wellsfargo,richardkovacevich).
companyceo(softbank,masayoshison).
companyceo(countrywide,angelormozilo).
companyceo(paypal,peterthiel).
companyceo(washingtonmutual,kerrykillinger).
companyceo(blackstone,stephenaschwarzman).
companyceo(royalbank,stephenhester).
companyceo(bearstearns,jamescayne).
companyceo(wachovia,kenthompson).
companyceo(reliance,mukeshambani).
companyceo(hbos,jamescrosby).
companyceo(eamobile,larryprobst).
companyceo(revlon,ronaldoperelman).
companyceo(oreillymedia,timoreilly).
companyceo(hyundai,mongkoochung).
companyceo(worldcom,bernardebbers).
companyceo(nissan,flaviobriatore).
companyceo(singtel,chuasockkoong).
companyceo(carphonewarehouse,davidross).
companyceo(lasvegassandscorporation,sheldonadelson).
companyceo(mahalo,jasoncalacanis).
companyceo(ivanhoe,robertfriedland).
companyceo(sherwinwilliams,christophermconnor).
companyceo(tesla,elonmusk).
companyceo(enron,kennethlay).
companyceo(canoncorporation,fujiomitarai).
companyceo(southwest,garykelly).
companyceo(paramountpictures,bradgrey).
companyceo(symantec,johnwthompson).
companyceo(skype,joshsilverman).
companyceo(chesapeakeenergy,aubreykmcclendon).
companyceo(tata,ratantata).
companyceo(campbellsoup,douglasrconant).
companyceo(sevennetwork,kerrystokes).
companyceo(fidelity,edwardjohnson).
companyceo(daimlerchrysler,dieterzetsche).
companyceo(honda,soichirohonda).
companyceo(dupont,charlesoholliday).
companyceo(firstenergy,anthonyjalexander).
companyceo(chrysler,leeiacocca).
companyceo(htc,peterchou).
companyceo(mcdonalds,jackgreenberg).
companyceo(southafricanairways,davidneeleman).
companyceo(singaporeairlines,chewchoonseng).
companyceo(berkshirehathaway,warrenbuffett).
companyceo(pixaranimationstudios,johnlasseter).
companyceo(baidu,robinli).
companyceo(easygroup,stelioshajiioannou).
companyceo(volkswagen,ferdinandpiech).
companyceo(sinclair,smith).
companyceo(electronicarts,johnriccitiello).
companyceo(aolvideo,rongrant).
companyceo(thetravelerscompanies,jaysfishman).
companyceo(telmex,carlosslimhelu).
companyceo(vw,martinwinterkorn).
companyceo(gm,richardwagoner).
companyceo(forceindia,vijaymallya).
companyceo(chryslerllc,bobnardelli).
companyceo(porsche,wendelinwiedeking).
companyceo(westfield,franklowy).
companyceo(bmw,norbertreithofer).
companyceo(foxconn,terrygou).
companyceo(amd,dirkmeyer).
companyceo(riaa,hilaryrosen).
companyceo(zappos,tonyhsieh).
companyceo(formerdisney,michaeleisner).
companyceo(bestbuy,brianjdunn).
companyceo(repsol,antoniobrufau).
companyceo(arcelormittal,lakshmimittal).
companyceo(fcc,juliusgenachowski).
companyceo(sabmiller,grahammackay).
companyceo(royaldutchshell,petervoser).
companyceo(costcowholesale,jamessinegal).
companyceo(evergreen,changyungfa).
companyceo(telstra,davidthodey).
companyceo(db,hartmutmehdorn).
companyceo(smi,obrutonsmith).
companyceo(vodafone,vittoriocolao).
companyceo(pimco,billgross).
companyceo(cnn,tedturner).
companyceo(virgin,richard).
companyceo(aig,edwardliddy).
companyceo(formerfederalreserve,alangreenspan).
companyceo(timewarner,jeffbewkes).
companyceo(geely,lishufu).
companyceo(mozilla,mitchellbaker).
companyceo(nhs,davidnicholson).
companyceo(mtv,tomfreston).
companyceo(bhartienterprises,sunilmittal).
companyceo(echostar,charlieergen).
companyceo(huntoil,rayhunt).
companyceo(godaddycom,bobparsons).
companyceo(quantacomputer,barrylam).
companyceo(tsmc,morrischang).
companyceo(gmeurope,carlpeterforster).
companyceo(amway,richardmdevos).
companyceo(newbalance,jimdavis).
companyceo(statoil,helgelund).
companyceo(fdic,sheilabair).
companyceo(dreamworks,davidgeffen).
companyceo(gnuproject,richardstallman).
companyceo(ba,williewalsh).
companyceo(tatasteel,bmuthuraman).
companyceo(reebok,paulfireman).
companyceo(etihad,jameshogan).
companyceo(formula,bernieecclestone).
companyceo(xl,richardrussell).
companyceo(scotland,fredgoodwin).
companyceo(bodog,calvinayre).
companyceo(mesa,jonathanornstein).
companyceo(wikipedia,jimmywales).
companyceo(fedex,fredericksmith).
companyceo(starbucks,howardschultz).
companyceo(station,frankfertittaiii).
companyceo(lucasarts,georgelucas).
acquired(intuit,mint).
acquired(vocus,prweb).
acquired(hasbro,wotc).
acquired(hasbro,tigerelectronics).
acquired(altriagroup,kraftfoods).
acquired(sapag,businessobjectssa).
acquired(sapag,sybase).
acquired(adidas,reebok).
acquired(samsonite,americantourister).
acquired(sbc,ameritech).
acquired(sbc,att).
acquired(generalelectric,rca).
acquired(roche,syntex).
acquired(roche,genentech).
acquired(logitech,ultimateears).
acquired(generalmills,pillsbury).
acquired(novell,suse).
acquired(novell,suse).
acquired(askjeeves,bloglines).
acquired(amazoncom,alexa).
acquired(amazoncom,imdb).
acquired(amazoncom,audible).
acquired(amazoncom,zappos).
acquired(amazoncom,createspace).
acquired(yumbrands,kfc).
acquired(yumbrands,tacobell).
acquired(cbscorporation,wallstrip).
acquired(cbscorporation,cnet).
acquired(cbscorporation,cstv).
acquired(cbscorporation,tvcom).
acquired(cbscorporation,cnetnetworks).
acquired(nvidia,ageia).
acquired(hewlettpackardco,compaq).
acquired(hewlettpackardco,eds).
acquired(basf,engelhard).
acquired(corelcorporation,micrografx).
acquired(corelcorporation,jasc).
acquired(corelcorporation,intervideo).
acquired(novartis,chiron).
acquired(cisco,navininetworks).
acquired(cisco,webex).
acquired(cisco,airespace).
acquired(cisco,ironportsystems).
acquired(cisco,scientificatlanta).
acquired(cisco,linksys).
acquired(daiichi,ranbaxy).
acquired(verisign,networksolutions).
acquired(centurytel,embarq).
acquired(aetna,medicity).
acquired(takeda,nycomed).
acquired(takeda,millennium).
acquired(salesforcecom,rypple).
acquired(scripps,shopzilla).
acquired(motorola,symboltechnologies).
acquired(motorola,netopia).
acquired(alcatel,lucenttechnologies).
acquired(xerox,acs).
acquired(xerox,globalimagingsystems).
acquired(chevron,unocal).
acquired(chevron,texaco).
acquired(chevron,gulfair).
acquired(overtureservices,fast).
acquired(sprint,nextel).
acquired(sprint,nextelcommunicationsinc).
acquired(sprint,verizoncommunications).
acquired(autodeskinc,alias).
acquired(microsoft,connectix).
acquired(microsoft,skype).
acquired(microsoft,tellmenetworks).
acquired(microsoft,softricity).
acquired(microsoft,aquantive).
acquired(microsoft,powerset).
acquired(microsoft,navision).
acquired(microsoft,whalecommunications).
acquired(microsoft,hotmail).
acquired(microsoft,farecast).
acquired(microsoft,bungie).
acquired(microsoft,giant).
acquired(bayer,aventiscropscience).
acquired(bayer,scheringag).
acquired(ibm,lotus).
acquired(ibm,informix).
acquired(ibm,telelogic).
acquired(ibm,spss).
acquired(ibm,internetsecuritysystems).
acquired(ibm,ascentialsoftware).
acquired(ibm,ouncelabs).
acquired(ibm,micromuse).
acquired(ibm,pwc).
acquired(ibm,lotusdevelopmentcorporation).
acquired(ibm,lombardi).
acquired(ibm,filenet).
acquired(ibm,cognos).
acquired(ibm,solidinformationtechnology).
acquired(ibm,rationalsoftware).
acquired(att,bellsouth).
acquired(att,ncrcorporation).
acquired(att,tmobileusa).
acquired(pnc,nationalcity).
acquired(schneiderelectric,pelco).
acquired(boeing,insitu).
acquired(boeing,mcdonnelldouglas).
acquired(verizoncommunications,cloudswitch).
acquired(verizoncommunications,alltel).
acquired(verizoncommunications,gte).
acquired(verizoncommunications,terremarkworldwide).
acquired(verizoncommunications,mci).
acquired(verizoncommunications,uscellularfield).
acquired(raytheon,esystems).
acquired(ebay,stumbleupon).
acquired(ebay,shoppingcom).
acquired(dow,rohmhaas).
acquired(dow,unioncarbide).
acquired(toshiba,westinghouse).
acquired(mgmmirage,unitedartists).
acquired(mgmmirage,ua).
acquired(dishnetwork,blockbusterexpress).
acquired(thewaltdisneycompany,pixaranimationstudios).
acquired(computersciences,dyncorp).
acquired(general,saab).
acquired(sonycorp,universalmusic).
acquired(sonycorp,sonyericssonfido).
acquired(sonycorp,sonicfoundry).
acquired(sonycorp,columbia).
acquired(sonycorp,mgmmirage).
acquired(wholefoodsmarket,wildoats).
acquired(francetelecom,orange).
acquired(ge,amershamplc).
acquired(ge,nbcuniversal).
acquired(ge,enron).
acquired(hp,indigo).
acquired(hp,voodoopc).
acquired(hp,palminc).
acquired(hp,arcsight).
acquired(hp,mercury).
acquired(hp,mercuryinteractive).
acquired(bp,amoco).
acquired(bp,arco).
acquired(intel,sarvega).
acquired(intel,dialogic).
acquired(intel,xircom).
acquired(intel,infineontechnologies).
acquired(monsanto,searle).
acquired(monsanto,seminis).
acquired(monsanto,calgene).
acquired(monsanto,deltapineland).
acquired(whirlpoolcorp,maytag).
acquired(whirlpoolcorp,maytagcorporation).
acquired(pearson,prenticehall).
acquired(walmartstores,asda).
acquired(hewlettpackard,compaqcomputercorporation).
acquired(nokiasiemens,plazes).
acquired(nokiasiemens,trolltech).
acquired(nokiasiemens,enpocket).
acquired(nokiasiemens,navteq).
acquired(pepsico,quakeroatscompany).
acquired(flextronics,solectron).
acquired(nyseeuronext,americanstockexchange).
acquired(citrixsystems,xensource).
acquired(compaqcomputercorporation,digitalequipment).
acquired(worldwrestlingentertainment,wcw).
acquired(exxon,mobil).
acquired(exxon,xtoenergy).
acquired(merck,scheringplough).
acquired(pharmacia,monsanto).
acquired(tribuneco,thelosangelestimes).
acquired(tribuneco,latimes).
acquired(emccorp,rsa).
acquired(emccorp,datadomain).
acquired(emccorp,legato).
acquired(emccorp,dantz).
acquired(emccorp,vmware).
acquired(blackbaud,kintera).
acquired(cvs,revco).
acquired(conocophillips,phillips).
acquired(proctergamble,gillette).
acquired(bostonscientific,guidant).
acquired(gateway,amiga).
acquired(gateway,emachines).
acquired(conocophillips,burlingtonresources).
acquired(halliburton,kbr).
acquired(halliburton,brownroot).
acquired(lucenttechnologies,ascend).
acquired(monstercom,yahoo).
acquired(comcast,plaxo).
acquired(medtronic,kyphon).
acquired(dellinc,wyse).
acquired(dellinc,perot).
acquired(dellinc,alienware).
acquired(dellinc,everdream).
acquired(dellinc,sonicwall).
acquired(dellinc,equallogic).
acquired(nbcuniversal,bravo).
acquired(nbcuniversal,telemundo).
acquired(oracle,bea).
acquired(oracle,retek).
acquired(oracle,sleepycat).
acquired(oracle,phaseforward).
acquired(oracle,siebelsystems).
acquired(oracle,sunmicro).
acquired(oracle,hyperion).
acquired(oracle,beasystems).
acquired(oracle,peoplesoft).
acquired(cnetnetworks,zdnet).
acquired(nationalsemiconductor,cyrix).
acquired(abbotlaboratories,advancedmedicaloptics).
acquired(amgen,immunex).
acquired(broadcom,henrytnicholasiii).
acquired(attachmate,novell).
acquired(mattel,learningcompany).
acquired(exeloncorp,commonwealthedison).
acquired(airfrance,klm).
acquired(airfrance,netherlands).
acquired(pfizer,warnerlambert).
acquired(pfizer,parkedavis).
acquired(pfizer,wyethayerst).
acquired(pfizer,vicuron).
acquired(pfizer,pharmacia).
acquired(pfizer,wyeth).
acquired(microntechnologyinc,lexarmedia).
acquired(google,feedburner).
acquired(facebook,friendfeedshare).
acquired(nasdaq,philadelphiastockexchange).
acquired(twitter,summize).
acquired(twitter,backtype).
acquired(twitter,posterous).
acquired(gilead,pharmasset).
acquired(google,doubleclick).
acquired(google,bloggercom).
acquired(google,jotspot).
acquired(google,zingku).
acquired(google,admobinc).
acquired(google,postrank).
acquired(google,youtubecom).
acquired(google,motorolamobilityholdings).
acquired(google,zagat).
acquired(google,youtube).
acquired(google,doubleclick).
acquired(google,dejacom).
acquired(google,pyralabs).
acquired(google,motorola).
acquired(thewaltdisneyco,espn).
acquired(yahoo,flickrmap).
acquired(yahoo,geocities).
acquired(yahoo,kelkoo).
acquired(yahoo,inktomi).
acquired(yahoo,mavennetworks).
acquired(yahoo,alibabacom).
acquired(yahoo,altavistacom).
acquired(yahoo,viaweb).
acquired(yahoo,delicious).
acquired(yahoo,delicious).
acquired(yahoo,mybloglogcom).
acquired(dhlground,airborne).
acquired(costco,priceclub).
acquired(ford,lincoln).
acquired(ford,mazda).
acquired(ford,volvo).
acquired(ford,jaguar).
acquired(ford,jaguarandlandrover).
acquired(disney,clubpenguin).
acquired(disney,marvelentertainment).
acquired(disney,infoseek).
acquired(disney,marvelcomics).
acquired(disney,abcnews).
acquired(disney,marvel).
acquired(nike,converse).
acquired(amazoncominc,abebooks).
acquired(mciworldcom,sprint).
acquired(gap,oldnavy).
acquired(gap,bananarepublic).
acquired(ingdirect,sharebuilder).
acquired(ebay,paypal).
acquired(ebay,halfcom).
acquired(blockbusterexpress,movielink).
acquired(nbcuniversal,ivillage).
acquired(generalmotors,buick).
acquired(generalmotors,cadillac).
acquired(generalmotors,chevrolet).
acquired(delta,airtran).
acquired(delta,comair).
acquired(delta,chautauquaairlines).
acquired(bankofnewyork,pershing).
acquired(carnival,costacruises).
acquired(carnival,cunard).
acquired(cingularwireless,bellsouth).
acquired(msnbc,newsvine).
acquired(chase,bankone).
acquired(chase,citigroup).
acquired(chase,chemicalbank).
acquired(cnn,mashable).
acquired(newscorp,foxnews).
acquired(newscorp,photobucket).
acquired(myspace,newscorp).
acquired(thomson,reuters).
acquired(alibabacom,yahoochina).
acquired(google,simplifymedia).
acquired(google,dejanews).
acquired(foxnews,myspace).
acquired(timewarner,navisite).
acquired(timewarner,cnn).
acquired(newyorktimes,aboutcom).
acquired(nebraska,services).
acquired(rca,nbcuniversal).
acquired(rca,victorcompany).
acquired(bbc,lonelyplanet).
acquired(emi,ericnicoli).
acquired(emi,virgin).
acquired(pbs,kqet).
acquired(pbs,kues).
acquired(pbs,kemv).
acquired(pbs,wha).
acquired(pbs,ketstv).
acquired(pbs,wbgutv).
acquired(americanstandardcompanies,trane).
acquired(bellsouth,cingularwireless).
acquired(kraftfoods,cadbury).
acquired(flybe,baconnect).
acquired(fiat,maserati).
acquired(fiat,abarth).
acquired(acer,gateway).
acquired(newscorporation,dowjones).
acquired(alticor,amway).
acquired(infogrames,ataricorporation).
acquired(kochindustries,georgiapacific).
acquired(allianz,dresdnerbank).
acquired(audi,lamborghini).
acquired(deltaairlines,northwestairlines).
acquired(jetairways,airsahara).
acquired(phillips,tosco).
acquired(mars,wrigleyfield).
acquired(compaq,tandem).
acquired(jpmorganchase,deutschebank).
acquired(viacom,mtv).
acquired(viacom,cbscorporation).
acquired(ticketmaster,tickets).
acquired(barclays,lehman).
acquired(sunmicrosystems,storagetek).
acquired(sunmicrosystems,stardivision).
acquired(marvell,intel).
acquired(altavista,overtureservices).
acquired(lloyds,hbos).
acquired(rbs,abnamro).
acquired(rbs,natwest).
acquired(blackstonegroup,hiltonhotels).
acquired(ulsterbank,firstactive).
acquired(commerzbank,dresdner).
acquired(westpac,stgeorge).
acquired(westpac,stgeorgebank).
acquired(deutschebank,banktrust).
acquired(jpmorgansecuritiesinc,washingtonmutual).
acquired(jpmorgansecuritiesinc,wamu).
acquired(jpmorgansecuritiesinc,hsbc).
acquired(wellsfargo,charlotte).
acquired(metropolitan,commerce).
acquired(td,canadatrust).
acquired(capitalone,ingdirect).
acquired(capitalone,chevychasebank).
acquired(paypal,verisign).
acquired(washingtonmutual,providian).
acquired(lloydstsb,hbos).
acquired(royalbank,worldpay).
acquired(citibank,banamex).
acquired(citibank,wachovia).
acquired(wachovia,worldsavings).
acquired(wachovia,agedwards).
acquired(wachovia,goldenwestfinancial).
acquired(wachovia,goldenwest).
acquired(wachovia,agedwardssons).
acquired(wachovia,agedwards).
acquired(jpmorganchaseco,bankofmontreal).
acquired(wellsfargoco,wachoviacorp).
acquired(eamobile,origin).
acquired(hyundai,kia).
acquired(aa,twa).
acquired(centurylink,qwestfield).
acquired(centurylink,savvis).
acquired(ericsson,redbacknetworks).
acquired(reuters,wallstreetjournal).
acquired(bellatlantic,nynex).
acquired(singtel,optus).
acquired(hindalco,novelis).
acquired(alltel,westernwireless).
acquired(panasonic,sanyoelectric).
acquired(symantec,veritas).
acquired(symantec,securityfocus).
acquired(symantec,delrina).
acquired(symantec,norton).
acquired(symantec,clearwellsystems).
acquired(maxtorbrand,quantum).
acquired(skype,groupme).
acquired(northwestairlines,republicairlines).
acquired(northwestairlines,republic).
acquired(tata,landrover).
acquired(nortelnetworks,baynetworks).
acquired(nortelnetworks,clarify).
acquired(manulifefinancialcorporation,johnhancockfinancialservices).
acquired(phillipmorrisinternational,nabisco).
acquired(chrysler,americanmotors).
acquired(chrysler,amc).
acquired(chrysler,dodgecompany).
acquired(gibson,epiphone).
acquired(vivendi,universalmusicgroup).
acquired(berkshirehathaway,netjets).
acquired(berkshirehathaway,geico).
acquired(imation,memorex).
acquired(hoya,pentaxbrand).
acquired(newscorp,dowjones).
acquired(lgelectronicsinc,zenith).
acquired(xrite,pantone).
acquired(eds,atkearney).
acquired(volkswagen,skoda).
acquired(volkswagen,audi).
acquired(seagate,maxtorbrand).
acquired(seagate,samsung).
acquired(electronicarts,maxis).
acquired(electronicarts,westwood).
acquired(aolvideo,userplane).
acquired(aolvideo,compuserve).
acquired(aolvideo,techcrunch).
acquired(aolvideo,quigo).
acquired(aolvideo,socialthing).
acquired(aolvideo,patch).
acquired(aolvideo,netscape).
acquired(aolvideo,thenewyorkpost).
acquired(gm,vauxhall).
acquired(gm,gmc).
acquired(gm,hummer).
acquired(gm,saturn).
acquired(gm,pontiac).
acquired(gm,opel).
acquired(gm,chevy).
acquired(gm,holden).
acquired(toyota,daihatsu).
acquired(toyota,hino).
acquired(daimlerbenz,amg).
acquired(daimlerbenz,chrysler).
acquired(bmwharleydavidson,mvagusta).
acquired(rackspace,slicehost).
acquired(bmw,mini).
acquired(bmw,rovergroup).
acquired(bmw,rollsroyce).
acquired(learningcompany,broderbund).
acquired(amd,atilastyear).
acquired(amd,ati).
acquired(amd,ati).
acquired(amd,seamicro).
acquired(amd,atitechnologies).
acquired(valero,ultramardiamondshamrock).
acquired(nomura,lehmanbrothers).
acquired(dowjones,factiva).
acquired(dowjones,marketwatch).
acquired(bofa,investmentbankmerrilllynch).
acquired(ferrovial,baa).
acquired(buy,speakeasy).
acquired(buy,napster).
acquired(juniper,netscreentechnologies).
acquired(timewarner,turnerbroadcasting).
acquired(timewarner,cnn).
acquired(oraclecorporation,sunmicrosystems).
acquired(jpm,bearstearns).
acquired(chrysler,dodge).
acquired(piaggio,aprilia).
acquired(sup,livejournal).
acquired(ntl,virginmobile).
acquired(universalstudioshollywood,universal).
acquired(rsa,cyota).
acquired(echostar,slingmedia).
acquired(gte,bellatlantic).
acquired(westgroup,findlaw).
acquired(gannett,pointroll).
acquired(royalcaribbeaninternational,celebritycruises).
acquired(nuance,vlingo).
acquired(ti,nationalsemiconductor).
acquired(tatasteel,corus).
acquired(carnivalcorporation,carnival).
acquired(techmahindra,satyamcomputerservicesltd).
acquired(virginmobile,helio).
acquired(informatica,siperian).
acquired(fender,squier).
acquired(fender,jackson).
acquired(bell,ctv).
acquired(metro,commerce).
acquired(qwest,uswest).
acquired(riotinto,alcan).
acquired(warnerbros,dccomics).
acquired(universal,polygram).
acquired(yahoo,associatedcontent).
acquired(access,palmsource).
acquired(mcclatchycompany,knightridder).
acquired(gettyimages,wireimage).
acquired(todays,wholefoodsmarket).
acquired(hearst,kaboodle).
acquired(hearst,chronicle).
companyalsoknownas(lightbridgeinc,lightbridge).
companyalsoknownas(mastercardinternational,mastercard).
companyalsoknownas(costcowholesalecorp,cost).
companyalsoknownas(fedexcorp,fdx).
companyalsoknownas(neccorp,fujitsu).
companyalsoknownas(neccorp,samsung).
companyalsoknownas(neccorp,lgelectronicsinc).
companyalsoknownas(sharpcorporation,sonycorp).
companyalsoknownas(sharpcorporation,samsung).
companyalsoknownas(sharpcorporation,lgelectronicsinc).
companyalsoknownas(sapag,sapr).
companyalsoknownas(sapag,hp).
companyalsoknownas(analogdevices,pulsar).
companyalsoknownas(goodyear,gt).
companyalsoknownas(wmt,walmartstores).
companyalsoknownas(generalelectric,ge).
companyalsoknownas(cigna,ci).
