,Entity,Iteration,Probability,Relation,Value
19,concept:sportsteam:florida_gators_basketball,1070,0.9999999999997483,concept:teamplaysagainstteam,concept:sportsteam:seminoles
20,concept:sportsteam:florida_gators_basketball,1070,0.9999999999990656,concept:teamplaysagainstteam,concept:sportsteam:alabama_crimson_tide
21,concept:athlete:thierry_henry,1070,0.99609375,concept:athleteplaysforteam,concept:sportsteam:barcelona
22,concept:athlete:pippen,1070,0.9375,concept:athleteplaysforteam,concept:sportsteam:chicago_bulls
23,concept:athlete:kwame_brown,1070,0.9375,concept:athleteplaysforteam,concept:sportsteam:los_angeles_lakers
24,concept:sportsteam:long_island_u__blackbirds,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
25,concept:athlete:john_bannister,1070,0.9375,concept:athleteplayssport,concept:sport:baseball
26,concept:athlete:halak,1070,0.984375,concept:athleteplaysforteam,concept:sportsteam:habs
27,concept:sportsteam:uc_san_diego,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:international
28,concept:sportsteam:baltimore_colts_in_super_bowl_iii,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:new_york_jets
29,concept:athlete:cj_miles,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
30,concept:sportsteam:belgrade_university,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:international
31,concept:sportsteam:army_black_knights_football,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
32,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:astros_last_night
33,concept:sportsteam:louis_cardinals,1070,0.9999984761356437,concept:teamplaysagainstteam,concept:sportsteam:red_sox_this_season
34,concept:sportsteam:louis_cardinals,1070,0.9994532334514409,concept:teamplaysagainstteam,concept:sportsteam:pirates
35,concept:sportsteam:louis_cardinals,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:atlanta_braves_spring_training
36,concept:sportsteam:louis_cardinals,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:twins
37,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:dodgers
38,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:chicago_cubs_baseball
39,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:red_sox
40,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:new_york_mets
41,concept:sportsteam:louis_cardinals,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:yankees
42,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysinleague,concept:sportsleague:mlb
43,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplayssport,concept:sport:baseball
44,concept:sportsteam:habs,1070,0.95350118653903,concept:teamplaysagainstteam,concept:sportsteam:bruins
45,concept:sportsteam:habs,1070,1.0,concept:teamplaysinleague,concept:sportsleague:nhl
46,concept:athlete:o_j__mayo,1070,0.9999999935951092,concept:athleteplaysinleague,concept:sportsleague:nba
47,concept:athlete:o_j__mayo,1070,0.911,concept:athleteplayssport,concept:sport:basketball
48,concept:athlete:aj_green,1070,0.9375,concept:athleteplaysforteam,concept:sportsteam:bengals
49,concept:sportsteam:iowa_state_cyclones_basketball,1070,0.9999999807756216,concept:teamalsoknownas,concept:sportsteam:state_university
50,concept:athlete:ja,1070,0.999999907431537,concept:athleteplaysinleague,concept:sportsleague:mlb
51,concept:person:grant_hill,1070,0.96875,concept:athleteledsportsteam,concept:sportsteam:suns
52,concept:person:grant_hill,1070,1.0,concept:athleteplaysforteam,concept:sportsteam:suns
53,concept:person:grant_hill,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
54,concept:sportsteam:american_university_s_school,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
55,concept:sportsteam:tufts_university__s_fletcher_school,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:international
56,concept:sportsteam:niagara_college,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
57,concept:athlete:oscar_de_la_hoya,1070,1.0,concept:athleteplayssport,concept:sport:boxing
58,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:cardinals__
59,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:buccaneers
60,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:packers
61,concept:sportsteam:carolina,1070,0.9965680486069496,concept:teamplaysagainstteam,concept:sportsteam:arizona_cardinals
62,concept:sportsteam:carolina,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:falcons
63,concept:sportsteam:carolina,1070,0.984375,concept:teamplaysagainstteam,concept:sportsteam:sd_chargers
64,concept:sportsteam:carolina,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:pittsburgh_steelers_sunday
65,concept:sportsteam:carolina,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:dallas_cowboys
66,concept:sportsteam:carolina,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:detroit_lions
67,concept:sportsteam:carolina,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:minnesota_vikings
68,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:philadelphia_eagles
69,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:new_york_jets
70,concept:sportsteam:carolina,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:new
71,concept:sportsteam:carolina,1070,0.9999999995744405,concept:teamplaysinleague,concept:sportsleague:nfl
72,concept:athlete:devin_brown,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
73,concept:athlete:rusty_wallace,1070,1.0,concept:athleteledsportsteam,concept:sportsteam:brad_keselowkski
74,concept:athlete:rusty_wallace,1070,1.0,concept:athleteplaysforteam,concept:sportsteam:trevor_bayne
75,concept:sportsteam:islanders,1070,0.9998565328078377,concept:teamplaysagainstteam,concept:sportsteam:pittsburgh_penguins
76,concept:sportsteam:islanders,1070,0.9996261213370463,concept:teamplaysagainstteam,concept:sportsteam:rangers
77,concept:sportsteam:islanders,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:devils
78,concept:sportsteam:islanders,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:montreal_canadiens
79,concept:sportsteam:islanders,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:tampa_bay_lightning
80,concept:sportsteam:islanders,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:carolina_hurricanes_hockey
81,concept:sportsteam:islanders,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:ottawa_senators
82,concept:sportsteam:islanders,1070,0.99609375,concept:teamplaysagainstteam,concept:sportsteam:philadelphia_flyers
83,concept:sportsteam:islanders,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:new_jersey_devils
84,concept:sportsteam:islanders,1070,0.9999999999472882,concept:teamplaysinleague,concept:sportsleague:nhl
85,concept:sportsteam:s__mississippi_golden_eagles,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
86,concept:sportsteam:gonzaga_bulldogs,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
87,concept:sportsteam:cal_state_los_angeles_golden_eagles,1070,0.9990234375,concept:teamplaysinleague,concept:sportsleague:ncaa
88,concept:sportsteam:florida_atlantic_university,1070,0.96875,concept:teamalsoknownas,concept:sportsteam:state_university
89,concept:sportsteam:florida_atlantic_university,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:international
90,concept:sportsteam:bemidji_state_beavers,1069,0.9375,concept:teamalsoknownas,concept:sportsteam:state_university
91,concept:sportsteam:bemidji_state_beavers,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
92,concept:sportsteam:west_coast_conference,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:ncaa
93,concept:sportsteam:miami_marlins,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:chicago_cubs_baseball
94,concept:sportsteam:miami_marlins,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:mlb
95,concept:sportsteam:zimbabwe_open_university,1070,0.9921875,concept:teamplaysinleague,concept:sportsleague:international
96,concept:sportsteam:italy,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:germany
97,concept:sportsteam:italy,1070,0.9999999949546525,concept:teamplaysagainstteam,concept:sportsteam:brazil
98,concept:sportsteam:italy,1070,0.999999940190514,concept:teamplayssport,concept:sport:golf
99,concept:sportsteam:west_georgia_wolves,1070,0.99951171875,concept:teamplaysinleague,concept:sportsleague:ncaa
100,concept:sportsteam:milwaukee_braves,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:yankees
101,concept:sportsteam:milwaukee_braves,1070,0.9999999999152069,concept:teamplaysinleague,concept:sportsleague:mlb
102,concept:sportsteam:milwaukee_braves,1070,0.9905,concept:teamplayssport,concept:sport:baseball
103,concept:sportsteam:washington_university,1070,0.9999999999417923,concept:teamplaysinleague,concept:sportsleague:international
104,concept:sportsteam:washington_university,1070,0.984375,concept:teamplayssport,concept:sport:football
105,concept:sportsteam:california_state_university,1052,0.9375,concept:teamalsoknownas,concept:sportsteam:state_university
106,concept:sportsteam:california_state_university,1070,0.9999847412109375,concept:teamplaysinleague,concept:sportsleague:international
107,concept:sportsteam:new_jersey_institute_of_technology_highlanders,1070,0.9990234375,concept:teamplaysinleague,concept:sportsleague:ncaa
108,concept:sportsteam:kc_chiefs,1070,0.9999998700822432,concept:teamplaysinleague,concept:sportsleague:nfl
109,concept:sportsteam:twins,1058,1.0,concept:teamplaysagainstteam,concept:sportsteam:chicago_white_sox
110,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:red_sox_this_season
111,concept:sportsteam:twins,1060,0.9968136375829916,concept:teamplaysagainstteam,concept:sportsteam:mariners
112,concept:sportsteam:twins,1066,0.9953501520912956,concept:teamplaysagainstteam,concept:sportsteam:atlanta_braves_spring_training
113,concept:sportsteam:twins,1069,0.9999999723944285,concept:teamplaysagainstteam,concept:sportsteam:white_sox
114,concept:sportsteam:twins,1058,0.9998774507555666,concept:teamplaysagainstteam,concept:sportsteam:brewers
115,concept:sportsteam:twins,1069,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:royals
116,concept:sportsteam:twins,1058,0.9939415281615435,concept:teamplaysagainstteam,concept:sportsteam:baltimore_orioles
117,concept:sportsteam:twins,1070,0.992360690787311,concept:teamplaysagainstteam,concept:sportsteam:rangers
118,concept:sportsteam:twins,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:detroit_tigers
119,concept:sportsteam:twins,1067,0.99609375,concept:teamplaysagainstteam,concept:sportsteam:new_york_mets
120,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:cleveland_indians
121,concept:sportsteam:twins,1058,0.96875,concept:teamplaysagainstteam,concept:sportsteam:texas_rangers
122,concept:sportsteam:twins,1058,0.9998410097354029,concept:teamplaysagainstteam,concept:sportsteam:tampa_bay_devil_rays
123,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:red_sox
124,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:indians
125,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:yankees
126,concept:sportsteam:twins,1069,0.9998115756380508,concept:teamplaysagainstteam,concept:sportsteam:blue_jays
127,concept:sportsteam:twins,1069,0.9926481672561354,concept:teamplaysagainstteam,concept:sportsteam:dodgers
128,concept:sportsteam:twins,1070,0.9978957150714434,concept:teamplaysagainstteam,concept:sportsteam:boston_red_sox
129,concept:sportsteam:twins,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:chicago_cubs_baseball
130,concept:sportsteam:twins,1070,0.9999999999963679,concept:teamplaysinleague,concept:sportsleague:mlb
131,concept:sportsteam:twins,1070,0.9953638417156995,concept:teamplayssport,concept:sport:hockey
132,concept:sportsteam:johns_hopkins_university_school,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:international
133,concept:sportsteam:santa_clara_broncos,1070,0.99993896484375,concept:teamplaysinleague,concept:sportsleague:ncaa
134,concept:sportsteam:mount_st_marys_mountaineers,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:ncaa
135,concept:sportsteam:quinnipiac_bobcats,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
136,concept:sportsteam:american_university,1070,0.998046875,concept:teamplaysinleague,concept:sportsleague:international
137,concept:sportsteam:american_university,1070,0.9375,concept:teamplayssport,concept:sport:basketball
138,concept:sportsteam:cameron_aggies,1070,0.9990234375,concept:teamplaysinleague,concept:sportsleague:ncaa
139,concept:sportsteam:southern_mississippi_eagles,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
140,concept:sportsteam:oregon_state_beavers,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
141,concept:sportsteam:montana_state_university,1070,0.9999995231628418,concept:teamalsoknownas,concept:sportsteam:state_university
142,concept:sportsteam:montana_state_university,1070,0.998046875,concept:teamplayssport,concept:sport:basketball
143,concept:sportsteam:osu,1070,0.9921875,concept:teamplaysinleague,concept:sportsleague:international
144,concept:sportsteam:osu,1070,0.96775,concept:teamplayssport,concept:sport:basketball
145,concept:sportsteam:jacksonville_st__gamecocks,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
146,concept:sportsteam:rutgers_camden_scarlet_raptors,1070,0.9999999685786122,concept:teamplaysagainstteam,concept:sportsteam:princeton_devil_rays
147,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:dallas_cowboys
148,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:oakland_raiders
149,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:bears_29_17
150,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:baltimore_colts
151,concept:sportsteam:houston_texans,1070,0.9999999652641174,concept:teamplaysagainstteam,concept:sportsteam:titans
152,concept:sportsteam:houston_texans,1070,0.9999844151215916,concept:teamplaysagainstteam,concept:organization:jaguars
153,concept:sportsteam:houston_texans,1070,0.9999841785816468,concept:teamplaysagainstteam,concept:sportsteam:cleveland_browns
154,concept:sportsteam:houston_texans,1070,0.9999089649144848,concept:teamplaysagainstteam,concept:sportsteam:pittsburgh_steelers_sunday
155,concept:sportsteam:houston_texans,1070,0.9993336075989209,concept:teamplaysagainstteam,concept:sportsteam:kansas_city_chiefs
156,concept:sportsteam:houston_texans,1070,0.9990234375,concept:teamplaysagainstteam,concept:sportsteam:sd_chargers
157,concept:sportsteam:houston_texans,1070,0.9990234375,concept:teamplaysagainstteam,concept:sportsteam:broncos
158,concept:sportsteam:houston_texans,1070,0.99609375,concept:teamplaysagainstteam,concept:sportsteam:bengals
159,concept:sportsteam:houston_texans,1070,0.984375,concept:teamplaysagainstteam,concept:sportsteam:minnesota_vikings
160,concept:sportsteam:houston_texans,1070,0.984375,concept:teamplaysagainstteam,concept:sportsteam:packers
161,concept:sportsteam:houston_texans,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:falcons
162,concept:sportsteam:houston_texans,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:washington_redskins_last
163,concept:sportsteam:houston_texans,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:seahawks
164,concept:sportsteam:houston_texans,1069,0.998046875,concept:teamplaysagainstteam,concept:sportsteam:new_england_patriots
165,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:jacksonville_jaguars
166,concept:sportsteam:houston_texans,1070,0.9999299440796897,concept:teamplaysagainstteam,concept:sportsteam:new_york_jets
167,concept:sportsteam:houston_texans,1070,0.999755859375,concept:teamplaysagainstteam,concept:sportsteam:new
168,concept:sportsteam:houston_texans,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:miami_dolphins_football_team
169,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysinleague,concept:sportsleague:nfl
170,concept:sportsteam:houston_texans,1070,0.9995418520380842,concept:teamplayssport,concept:sport:hockey
171,concept:sportsteam:cleveland_state_vikings,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
172,concept:sportsteam:moore_school,1070,0.99609375,concept:teamplaysinleague,concept:sportsleague:international
173,concept:sportsteam:indians,1069,0.9999999192379484,concept:teamplaysagainstteam,concept:sportsteam:red_sox_this_season
174,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:boston_braves
175,concept:sportsteam:indians,1069,0.9967102232203434,concept:teamplaysagainstteam,concept:sportsteam:mariners
176,concept:sportsteam:indians,1069,0.9993106992854089,concept:teamplaysagainstteam,concept:sportsteam:atlanta_braves_spring_training
177,concept:sportsteam:indians,1069,0.9375,concept:teamplaysagainstteam,concept:sportsteam:tampa
178,concept:sportsteam:indians,1069,0.9998354350595521,concept:teamplaysagainstteam,concept:sportsteam:royals
179,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:baltimore_orioles
180,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:chicago_white_sox
181,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:detroit_tigers
182,concept:sportsteam:indians,1069,0.9996668527397431,concept:teamplaysagainstteam,concept:sportsteam:twins
183,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:pirates
184,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:white_sox
185,concept:sportsteam:indians,1070,0.9858584006633713,concept:teamplaysagainstteam,concept:sportsteam:cardinals__
186,concept:sportsteam:indians,1070,0.9824251223363256,concept:teamplaysagainstteam,concept:sportsteam:n2001_arizona_diamondbacks
187,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:colorado_rockies
188,concept:sportsteam:indians,1069,0.96875,concept:teamplaysagainstteam,concept:sportsteam:houston_astros
189,concept:sportsteam:indians,1069,0.999971824402744,concept:teamplaysagainstteam,concept:sportsteam:red_sox
190,concept:sportsteam:indians,1069,0.9990448497794295,concept:teamplaysagainstteam,concept:sportsteam:dodgers
191,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:atlanta_braves
192,concept:sportsteam:indians,1069,0.9502147648997679,concept:teamplaysagainstteam,concept:sportsteam:marlins
193,concept:sportsteam:indians,1069,0.967725791848727,concept:teamplaysagainstteam,concept:sportsteam:texas_rangers
194,concept:sportsteam:indians,1069,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:tampa_bay_devil_rays
195,concept:sportsteam:indians,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:yankees
196,concept:sportsteam:indians,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:new_york_jets
197,concept:sportsteam:indians,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:boston_red_sox
198,concept:sportsteam:indians,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:chicago_cubs_baseball
199,concept:sportsteam:indians,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:tampa_bay_rays
200,concept:sportsteam:indians,1070,1.0,concept:teamplaysinleague,concept:sportsleague:mlb
201,concept:sportsteam:indians,1070,0.9996878653884846,concept:teamplayssport,concept:sport:baseball
202,concept:sportsteam:brown_bears,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
203,concept:sportsteam:eastman_school_of_music,1048,0.99609375,concept:teamalsoknownas,concept:sportsteam:state_university
204,concept:sportsteam:troy_university,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
205,concept:sportsteam:buffalo_bulls,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
206,concept:sportsteam:towson_tigers,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
207,concept:sportsteam:george_washington_university__s_elliott_school,1070,0.99609375,concept:teamplaysinleague,concept:sportsleague:international
208,concept:sportsteam:iowa_state,1070,1.0,concept:teamalsoknownas,concept:sportsteam:state_university
209,concept:sportsteam:iowa_state,1070,0.9990234375,concept:teamplayssport,concept:sport:basketball
210,concept:sportsteam:gardner_webb_bulldogs,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
211,concept:sportsteam:seattle_pilots,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:mlb
212,concept:sportsteam:arizona_st__sun_devils,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
213,concept:sportsteam:college_of_new_jersey,1070,0.9999463426040888,concept:teamplaysinleague,concept:sportsleague:ncaa
214,concept:sportsteam:unc_wilmington_seahawks,1070,0.999755859375,concept:teamplaysinleague,concept:sportsleague:ncaa
215,concept:sportsteam:washington_state,1069,0.9999999981373549,concept:teamalsoknownas,concept:sportsteam:state_university
216,concept:sportsteam:washington_state,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
217,concept:sportsteam:washington_state,1070,0.96,concept:teamplayssport,concept:sport:hockey
218,concept:sportsteam:u_s__national_war_college,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
219,concept:sportsteam:sussex_university,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:international
220,concept:sportsteam:washington_mystics,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:wnba
221,concept:sportsteam:cleveland_st__vikings,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
222,concept:sportsteam:north_dakota_fighting_sioux,1070,0.9990234375,concept:teamplaysinleague,concept:sportsleague:ncaa
223,concept:sportsteam:western_connecticut_colonials,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
224,concept:sportsteam:wright_st__raiders,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
225,concept:sportsteam:university_college_london,1070,0.9921875,concept:teamplaysinleague,concept:sportsleague:international
226,concept:sportsteam:southwestern_oklahoma_state_bulldogs,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
227,concept:sportsteam:dallas_baptist_patriots,1070,0.99951171875,concept:teamplaysinleague,concept:sportsleague:ncaa
228,concept:sportsteam:fairfield_university,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
229,concept:sportsteam:fairfield_university,1070,0.96875,concept:teamplayssport,concept:sport:basketball
230,concept:sportsteam:southeastern_louisiana_university,1070,0.9375,concept:teamplayssport,concept:sport:basketball
231,concept:sportsteam:carolina_panthers,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:eagles
232,concept:sportsteam:carolina_panthers,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:seahawks
233,concept:sportsteam:carolina_panthers,1070,0.9864285111138149,concept:teamplaysagainstteam,concept:sportsteam:arizona_cardinals
234,concept:sportsteam:carolina_panthers,1070,0.984375,concept:teamplaysagainstteam,concept:sportsteam:bears_29_17
235,concept:sportsteam:carolina_panthers,1070,0.9714221585978109,concept:teamplaysagainstteam,concept:sportsteam:cardinals__
236,concept:sportsteam:carolina_panthers,1070,0.9281932845636727,concept:teamplaysagainstteam,concept:sportsteam:buccaneers
237,concept:sportsteam:carolina_panthers,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:new_england_patriots
238,concept:sportsteam:carolina_panthers,1070,0.998046875,concept:teamplaysagainstteam,concept:sportsteam:rams
239,concept:sportsteam:carolina_panthers,1070,0.984375,concept:teamplaysagainstteam,concept:sportsteam:new_york_jets
240,concept:sportsteam:carolina_panthers,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:new
241,concept:sportsteam:carolina_panthers,1070,1.0,concept:teamplaysinleague,concept:sportsleague:nfl
242,concept:sportsteam:carolina_panthers,1070,1.0,concept:teamplayssport,concept:sport:football
243,concept:sportsteam:fla__international_golden_panthers,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
244,concept:sportsteam:utah_valley_wolverines,1070,0.99951171875,concept:teamplaysinleague,concept:sportsleague:ncaa
245,concept:sportsteam:bc_lions,1055,1.0,concept:teamalsoknownas,concept:sportsteam:edmonton_eskimos
246,concept:sportsteam:bc_lions,1070,0.998046875,concept:teamplaysinleague,concept:sportsleague:cfl
247,concept:sportsteam:seoul_national_university,1070,0.999755859375,concept:teamplaysinleague,concept:sportsleague:international
248,concept:sportsteam:san_diego_toreros,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
249,concept:sportsteam:oral_roberts_golden_eagles,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
250,concept:sportsteam:nankai_university,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
251,concept:sportsteam:yale_law_school,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
252,concept:sportsteam:nyu,1070,0.999969482421875,concept:teamplaysinleague,concept:sportsleague:international
253,concept:sportsteam:western_kentucky_university,1070,0.9375,concept:teamplayssport,concept:sport:basketball
254,concept:sportsteam:nec_gear,1070,0.99609375,concept:teamplaysinleague,concept:sportsleague:ncaa
255,concept:sportsteam:idaho_state_university,1048,0.998046875,concept:teamalsoknownas,concept:sportsteam:state_university
256,concept:sportsteam:idaho_state_university,1070,0.96875,concept:teamplayssport,concept:sport:football
257,concept:sportsteam:idaho_st__bengals,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
258,concept:sportsteam:st__louis_billikens,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:ncaa
259,concept:sportsteam:florida_intl_golden_panthers,1070,0.9999999942181157,concept:teamplaysinleague,concept:sportsleague:nhl
260,concept:sportsteam:florida_intl_golden_panthers,1070,0.999999107050451,concept:teamplayssport,concept:sport:hockey
